"subject","glare top","glare bottom","glare center","glare left","glare right","control top","control bottom","control center","control left","control right"
"2",0.140433369876461,0.235812323300853,-0.41006630455754,0.552097955008359,0.178354086668216,0.385697773637812,-0.158777927553319,-0.449041998553207,0.0595539343132343,0.127579273777218
"3",0.565751821520183,0.340523598045546,-0.393023905498618,0.291125877697888,0.487676272757678,0.457210208910498,0.546227240151391,0.0533349342725157,0.341183843484344,0.140891724485379
"4",0.181340774818108,0.0542093528843378,-0.228021655288164,0.112736783038521,0.189500531620918,0.164043825506881,0.00790248607956307,-0.249565719184616,0.164834921135245,0.445524514204057
"5",0.333768066207205,0.273045959802632,-0.097293730655505,0.300142898245756,0.398357169785824,0.291798939589187,0.19338741745882,0.00782223651369709,0.177153822248898,0.273756766669397
"6",0.196661853776906,-0.498711555355377,-1.25760074821985,-0.186463562609966,-0.441110970033228,0.0536802070744221,-0.169215929605209,-0.998841560068151,-0.234013682821624,-0.159196669864045
"7",0.161069089853383,0.240463094287094,0.252950507637599,0.152661116980754,-0.0193512786726408,0.289460833719138,0.159057191064919,0.189954823142028,0.0387122327294787,0.279101718730585
"8",1.08949146815821,0.791275037271461,0.67384784945125,0.938218415132638,0.780129164585158,1.18891343055761,0.848689583999152,1.09259936312648,0.885330257035008,0.925779150916258
"9",-0.399217232744553,-0.290676593569619,-0.546486994994723,-0.259375204398836,-0.361350547432198,-0.106342240086551,-0.239513966581994,-0.627884297163549,-0.306934822558602,-0.268627973986682
"10",0.698104782594436,0.376225220322797,0.653849381009244,0.762052066729995,0.444797679054956,0.845033741710773,0.721231655913525,0.649057769598254,0.531750442883346,0.759535436232008
"11",0.787601318851737,0.502697724116099,0.400345060945681,0.422348311847005,0.741461969811795,0.873033465835117,0.568702652854923,0.860915687850186,0.848954823896296,0.891289497309595
"12",0.514353107256724,0.431781568945996,0.262651214440356,0.318946080605787,0.719444305753582,0.461051120257354,0.548260309631986,0.664645277099382,0.628190168925934,0.315960434870522
"13",-0.19020594005512,-0.345225665687151,-0.446719589107154,-0.269969021976837,-0.31247189807039,0.466792317027833,-0.636058031886642,-0.664944185906796,-0.302656068541653,-0.32036962635914
"15",0.105229402403563,0.258150298370043,-0.308187338841208,0.0699755312161101,0.244926799002278,-0.0111712657807863,-0.0488281737485055,0.114549561123979,0.241071183430806,-0.0426155128171374
"16",-0.17927270087399,-0.37609675489979,-0.397335428519541,-0.287689026319677,-0.0558568477459899,0.290773480569784,-0.0335202572041407,-0.140494984790005,0.0821606341398885,0.0453566559435245
"18",0.381257003499773,0.0202596874714188,-0.0457610327584523,0.236352490008975,-0.0207618754165397,0.31899926379088,0.0858525598192478,0.065246553461594,0.478725242896301,0.360588228400667
"19",-0.182793675471608,-0.148067421653966,-0.456665556900791,0.0419250415536783,0.147822941499165,0.366330717279648,-0.112477424094116,0.223038737269818,0.180378100657251,0.0704100012553829
"20",0.087312662000125,0.0284297914363932,0.0212026929828465,0.0167993802960869,0.0502668035679964,0.10178145492526,0.16730298374179,-0.239742043875155,-0.0882730347419315,0.0511786340710975
