Ô»Õ_p,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,
ì¥»___ï,,,,5175,130,60,10600,250,110,5315,110,50,10475,300,105,940,310,290,1935,60,50,8685,195,90,50,,,,,,
399(nm),,,,4.72E-08,1.60E-06,3.41E-06,2.84E-08,1.05E-06,2.70E-06,4.08E-08,2.01E-06,4.02E-06,3.30E-08,1.08E-06,2.87E-06,1.43E-07,4.45E-06,5.03E-06,6.91E-08,2.65E-06,4.36E-06,2.47E-08,8.10E-07,2.65E-06,5.67E-06,,,,,,
400(nm),,,,4.18E-08,1.72E-06,3.50E-06,2.63E-08,1.03E-06,2.67E-06,4.36E-08,1.98E-06,3.60E-06,2.98E-08,1.01E-06,2.61E-06,1.42E-07,4.60E-06,5.33E-06,7.10E-08,2.93E-06,4.20E-06,2.31E-08,8.95E-07,2.63E-06,5.40E-06,,,,,,
401(nm),,,,4.78E-08,1.74E-06,3.31E-06,2.91E-08,1.04E-06,2.59E-06,4.31E-08,2.08E-06,3.57E-06,2.92E-08,1.00E-06,2.72E-06,1.47E-07,4.64E-06,5.07E-06,7.20E-08,2.87E-06,4.18E-06,2.62E-08,9.64E-07,2.62E-06,5.21E-06,,,,,,
402(nm),,,,4.49E-08,1.71E-06,3.51E-06,2.71E-08,9.95E-07,2.80E-06,4.45E-08,1.96E-06,3.82E-06,3.14E-08,9.80E-07,2.64E-06,1.45E-07,4.37E-06,5.78E-06,6.09E-08,2.79E-06,4.26E-06,2.30E-08,8.97E-07,2.63E-06,5.31E-06,,,,,,
403(nm),,,,4.79E-08,1.73E-06,3.48E-06,3.00E-08,9.87E-07,2.59E-06,4.45E-08,2.05E-06,3.76E-06,3.05E-08,9.94E-07,2.68E-06,1.54E-07,4.73E-06,4.97E-06,7.12E-08,2.87E-06,4.54E-06,2.75E-08,8.93E-07,2.64E-06,5.31E-06,,,,,,
404(nm),,,,5.07E-08,1.85E-06,3.79E-06,3.15E-08,9.95E-07,2.68E-06,4.65E-08,2.03E-06,3.96E-06,3.06E-08,1.03E-06,2.72E-06,1.67E-07,5.10E-06,5.77E-06,8.25E-08,3.03E-06,4.70E-06,2.85E-08,9.40E-07,2.71E-06,5.43E-06,,,,,,
405(nm),,,,5.33E-08,2.03E-06,3.85E-06,3.33E-08,1.02E-06,2.78E-06,5.12E-08,2.10E-06,4.33E-06,3.48E-08,1.03E-06,2.84E-06,1.82E-07,5.48E-06,6.15E-06,9.08E-08,3.34E-06,4.95E-06,2.97E-08,1.00E-06,3.05E-06,5.72E-06,,,,,,
406(nm),,,,5.99E-08,2.00E-06,4.06E-06,3.36E-08,9.62E-07,2.89E-06,5.09E-08,2.45E-06,4.66E-06,3.71E-08,1.07E-06,2.98E-06,2.13E-07,5.61E-06,6.79E-06,1.05E-07,3.63E-06,5.48E-06,3.59E-08,1.11E-06,3.19E-06,6.59E-06,,,,,,
407(nm),,,,6.48E-08,2.23E-06,4.47E-06,3.66E-08,1.05E-06,3.25E-06,6.35E-08,2.56E-06,4.72E-06,4.04E-08,1.12E-06,3.20E-06,2.20E-07,6.77E-06,7.28E-06,1.16E-07,3.76E-06,6.07E-06,3.92E-08,1.23E-06,3.63E-06,7.03E-06,,,,,,
408(nm),,,,7.43E-08,2.38E-06,4.99E-06,4.44E-08,1.10E-06,3.46E-06,7.14E-08,2.84E-06,5.38E-06,4.65E-08,1.19E-06,3.67E-06,2.53E-07,7.89E-06,8.91E-06,1.35E-07,4.44E-06,6.80E-06,4.44E-08,1.28E-06,4.02E-06,7.80E-06,,,,,,
409(nm),,,,8.26E-08,2.75E-06,5.76E-06,4.80E-08,1.16E-06,3.72E-06,7.66E-08,3.23E-06,6.12E-06,5.02E-08,1.30E-06,4.03E-06,3.20E-07,8.90E-06,1.00E-05,1.52E-07,5.17E-06,7.66E-06,5.15E-08,1.52E-06,4.44E-06,8.58E-06,,,,,,
410(nm),,,,9.66E-08,3.33E-06,6.44E-06,5.39E-08,1.27E-06,4.24E-06,8.92E-08,3.80E-06,6.85E-06,5.68E-08,1.41E-06,4.45E-06,3.77E-07,1.02E-05,1.15E-05,1.79E-07,6.29E-06,8.85E-06,6.03E-08,1.80E-06,5.05E-06,1.01E-05,,,,,,
411(nm),,,,1.19E-07,3.66E-06,7.46E-06,6.51E-08,1.39E-06,4.82E-06,1.07E-07,4.29E-06,8.10E-06,6.64E-08,1.58E-06,5.12E-06,4.39E-07,1.23E-05,1.33E-05,2.09E-07,7.08E-06,1.04E-05,7.22E-08,2.02E-06,5.86E-06,1.15E-05,,,,,,
412(nm),,,,1.32E-07,4.43E-06,8.85E-06,7.41E-08,1.56E-06,5.59E-06,1.25E-07,5.26E-06,9.80E-06,7.87E-08,1.80E-06,5.98E-06,5.38E-07,1.45E-05,1.57E-05,2.47E-07,8.55E-06,1.24E-05,8.69E-08,2.32E-06,7.03E-06,1.37E-05,,,,,,
413(nm),,,,1.55E-07,5.20E-06,1.06E-05,8.70E-08,1.76E-06,6.52E-06,1.50E-07,6.14E-06,1.14E-05,9.55E-08,2.05E-06,7.03E-06,6.38E-07,1.74E-05,1.88E-05,3.04E-07,1.06E-05,1.47E-05,9.92E-08,2.77E-06,8.39E-06,1.61E-05,,,,,,
414(nm),,,,1.90E-07,6.18E-06,1.24E-05,1.04E-07,1.98E-06,7.50E-06,1.73E-07,7.13E-06,1.35E-05,1.12E-07,2.41E-06,8.33E-06,7.85E-07,2.10E-05,2.25E-05,3.63E-07,1.24E-05,1.73E-05,1.20E-07,3.26E-06,9.78E-06,1.91E-05,,,,,,
415(nm),,,,2.21E-07,7.44E-06,1.48E-05,1.24E-07,2.32E-06,8.91E-06,2.12E-07,8.61E-06,1.61E-05,1.28E-07,2.75E-06,9.76E-06,9.40E-07,2.45E-05,2.70E-05,4.45E-07,1.44E-05,2.11E-05,1.38E-07,3.89E-06,1.14E-05,2.26E-05,,,,,,
416(nm),,,,2.68E-07,8.76E-06,1.74E-05,1.46E-07,2.67E-06,1.05E-05,2.51E-07,1.03E-05,1.93E-05,1.54E-07,3.28E-06,1.15E-05,1.12E-06,3.00E-05,3.28E-05,5.28E-07,1.76E-05,2.50E-05,1.70E-07,4.54E-06,1.36E-05,2.66E-05,,,,,,
417(nm),,,,3.21E-07,1.06E-05,2.08E-05,1.75E-07,3.13E-06,1.27E-05,3.04E-07,1.23E-05,2.32E-05,1.80E-07,3.83E-06,1.38E-05,1.37E-06,3.68E-05,4.01E-05,6.26E-07,2.10E-05,3.04E-05,1.99E-07,5.35E-06,1.64E-05,3.26E-05,,,,,,
418(nm),,,,3.85E-07,1.26E-05,2.54E-05,2.07E-07,3.64E-06,1.50E-05,3.60E-07,1.48E-05,2.78E-05,2.18E-07,4.53E-06,1.65E-05,1.65E-06,4.49E-05,4.80E-05,7.56E-07,2.59E-05,3.64E-05,2.36E-07,6.38E-06,1.94E-05,3.94E-05,,,,,,
419(nm),,,,4.54E-07,1.53E-05,3.02E-05,2.49E-07,4.33E-06,1.78E-05,4.29E-07,1.78E-05,3.35E-05,2.55E-07,5.31E-06,1.97E-05,1.99E-06,5.30E-05,5.85E-05,8.98E-07,3.09E-05,4.37E-05,2.81E-07,7.52E-06,2.34E-05,4.72E-05,,,,,,
420(nm),,,,5.55E-07,1.85E-05,3.64E-05,2.98E-07,5.11E-06,2.15E-05,5.22E-07,2.17E-05,4.11E-05,3.07E-07,6.30E-06,2.36E-05,2.43E-06,6.57E-05,6.96E-05,1.08E-06,3.70E-05,5.29E-05,3.31E-07,9.10E-06,2.82E-05,5.67E-05,,,,,,
421(nm),,,,6.63E-07,2.23E-05,4.44E-05,3.53E-07,6.18E-06,2.61E-05,6.32E-07,2.63E-05,4.94E-05,3.65E-07,7.56E-06,2.85E-05,2.94E-06,7.92E-05,8.49E-05,1.33E-06,4.54E-05,6.37E-05,3.93E-07,1.07E-05,3.38E-05,6.84E-05,,,,,,
422(nm),,,,7.93E-07,2.70E-05,5.36E-05,4.18E-07,7.43E-06,3.14E-05,7.59E-07,3.18E-05,5.93E-05,4.36E-07,9.07E-06,3.41E-05,3.55E-06,9.56E-05,1.03E-04,1.61E-06,5.51E-05,7.65E-05,4.69E-07,1.27E-05,4.05E-05,8.22E-05,,,,,,
423(nm),,,,9.39E-07,3.23E-05,6.39E-05,4.95E-07,8.73E-06,3.71E-05,9.08E-07,3.79E-05,7.07E-05,5.13E-07,1.07E-05,4.08E-05,4.29E-06,1.15E-04,1.24E-04,1.92E-06,6.58E-05,9.16E-05,5.50E-07,1.49E-05,4.81E-05,9.88E-05,,,,,,
424(nm),,,,1.13E-06,3.84E-05,7.65E-05,5.84E-07,1.04E-05,4.47E-05,1.08E-06,4.55E-05,8.49E-05,6.04E-07,1.27E-05,4.87E-05,5.13E-06,1.38E-04,1.48E-04,2.29E-06,7.90E-05,1.10E-04,6.48E-07,1.75E-05,5.69E-05,1.18E-04,,,,,,
425(nm),,,,1.33E-06,4.58E-05,9.09E-05,6.90E-07,1.23E-05,5.27E-05,1.28E-06,5.41E-05,1.01E-04,7.12E-07,1.50E-05,5.78E-05,6.10E-06,1.65E-04,1.75E-04,2.72E-06,9.33E-05,1.32E-04,7.58E-07,2.08E-05,6.78E-05,1.41E-04,,,,,,
426(nm),,,,1.57E-06,5.43E-05,1.07E-04,8.06E-07,1.45E-05,6.25E-05,1.50E-06,6.38E-05,1.20E-04,8.28E-07,1.76E-05,6.79E-05,7.25E-06,1.96E-04,2.09E-04,3.22E-06,1.11E-04,1.56E-04,8.85E-07,2.44E-05,8.01E-05,1.66E-04,,,,,,
427(nm),,,,1.85E-06,6.39E-05,1.27E-04,9.33E-07,1.71E-05,7.36E-05,1.77E-06,7.51E-05,1.41E-04,9.65E-07,2.06E-05,7.99E-05,8.57E-06,2.31E-04,2.46E-04,3.78E-06,1.30E-04,1.83E-04,1.02E-06,2.84E-05,9.36E-05,1.96E-04,,,,,,
428(nm),,,,2.15E-06,7.52E-05,1.49E-04,1.10E-06,1.98E-05,8.65E-05,2.07E-06,8.94E-05,1.66E-04,1.13E-06,2.42E-05,9.45E-05,1.01E-05,2.73E-04,2.92E-04,4.44E-06,1.55E-04,2.15E-04,1.19E-06,3.30E-05,1.10E-04,2.30E-04,,,,,,
429(nm),,,,2.52E-06,8.82E-05,1.76E-04,1.28E-06,2.36E-05,1.02E-04,2.43E-06,1.05E-04,1.96E-04,1.31E-06,2.83E-05,1.11E-04,1.19E-05,3.21E-04,3.43E-04,5.22E-06,1.81E-04,2.54E-04,1.38E-06,3.84E-05,1.29E-04,2.71E-04,,,,,,
430(nm),,,,2.95E-06,1.04E-04,2.07E-04,1.48E-06,2.76E-05,1.20E-04,2.83E-06,1.24E-04,2.30E-04,1.52E-06,3.31E-05,1.30E-04,1.39E-05,3.79E-04,4.03E-04,6.13E-06,2.13E-04,2.99E-04,1.59E-06,4.49E-05,1.51E-04,3.19E-04,,,,,,
431(nm),,,,3.44E-06,1.21E-04,2.42E-04,1.72E-06,3.23E-05,1.40E-04,3.30E-06,1.45E-04,2.70E-04,1.75E-06,3.87E-05,1.52E-04,1.64E-05,4.43E-04,4.72E-04,7.12E-06,2.50E-04,3.50E-04,1.84E-06,5.21E-05,1.78E-04,3.74E-04,,,,,,
432(nm),,,,3.97E-06,1.42E-04,2.83E-04,1.97E-06,3.77E-05,1.62E-04,3.81E-06,1.70E-04,3.15E-04,2.01E-06,4.50E-05,1.78E-04,1.91E-05,5.19E-04,5.52E-04,8.32E-06,2.92E-04,4.09E-04,2.10E-06,6.03E-05,2.06E-04,4.36E-04,,,,,,
433(nm),,,,4.61E-06,1.65E-04,3.30E-04,2.28E-06,4.41E-05,1.91E-04,4.45E-06,1.97E-04,3.68E-04,2.33E-06,5.25E-05,2.07E-04,2.22E-05,6.05E-04,6.45E-04,9.67E-06,3.39E-04,4.76E-04,2.42E-06,7.00E-05,2.40E-04,5.09E-04,,,,,,
434(nm),,,,5.33E-06,1.92E-04,3.83E-04,2.63E-06,5.13E-05,2.21E-04,5.14E-06,2.29E-04,4.27E-04,2.67E-06,6.06E-05,2.40E-04,2.58E-05,7.04E-04,7.49E-04,1.12E-05,3.95E-04,5.53E-04,2.77E-06,8.04E-05,2.78E-04,5.92E-04,,,,,,
435(nm),,,,6.12E-06,2.22E-04,4.43E-04,3.00E-06,5.91E-05,2.56E-04,5.90E-06,2.64E-04,4.93E-04,3.05E-06,6.99E-05,2.77E-04,2.98E-05,8.12E-04,8.64E-04,1.29E-05,4.55E-04,6.39E-04,3.14E-06,9.24E-05,3.21E-04,6.83E-04,,,,,,
436(nm),,,,6.97E-06,2.55E-04,5.07E-04,3.41E-06,6.83E-05,2.95E-04,6.76E-06,3.03E-04,5.67E-04,3.47E-06,8.04E-05,3.20E-04,3.43E-05,9.38E-04,9.97E-04,1.48E-05,5.22E-04,7.35E-04,3.57E-06,1.05E-04,3.68E-04,7.84E-04,,,,,,
437(nm),,,,8.02E-06,2.92E-04,5.85E-04,3.88E-06,7.82E-05,3.38E-04,7.73E-06,3.50E-04,6.52E-04,3.95E-06,9.20E-05,3.66E-04,3.93E-05,1.08E-03,1.14E-03,1.70E-05,5.99E-04,8.42E-04,4.05E-06,1.21E-04,4.21E-04,9.03E-04,,,,,,
438(nm),,,,9.12E-06,3.34E-04,6.66E-04,4.41E-06,8.98E-05,3.87E-04,8.79E-06,4.00E-04,7.46E-04,4.47E-06,1.05E-04,4.18E-04,4.49E-05,1.23E-03,1.31E-03,1.94E-05,6.85E-04,9.67E-04,4.56E-06,1.37E-04,4.83E-04,1.04E-03,,,,,,
439(nm),,,,1.04E-05,3.83E-04,7.62E-04,4.99E-06,1.03E-04,4.42E-04,1.00E-05,4.58E-04,8.53E-04,5.07E-06,1.20E-04,4.78E-04,5.13E-05,1.41E-03,1.50E-03,2.20E-05,7.85E-04,1.11E-03,5.15E-06,1.56E-04,5.51E-04,1.18E-03,,,,,,
440(nm),,,,1.17E-05,4.36E-04,8.67E-04,5.62E-06,1.17E-04,5.04E-04,1.13E-05,5.21E-04,9.68E-04,5.71E-06,1.37E-04,5.44E-04,5.82E-05,1.60E-03,1.70E-03,2.50E-05,8.91E-04,1.26E-03,5.79E-06,1.76E-04,6.25E-04,1.34E-03,,,,,,
441(nm),,,,1.32E-05,4.92E-04,9.81E-04,6.30E-06,1.33E-04,5.72E-04,1.28E-05,5.89E-04,1.09E-03,6.39E-06,1.55E-04,6.14E-04,6.59E-05,1.81E-03,1.93E-03,2.83E-05,1.01E-03,1.42E-03,6.48E-06,1.98E-04,7.06E-04,1.52E-03,,,,,,
442(nm),,,,1.48E-05,5.55E-04,1.11E-03,7.04E-06,1.50E-04,6.44E-04,1.43E-05,6.66E-04,1.24E-03,7.14E-06,1.75E-04,6.93E-04,7.44E-05,2.05E-03,2.18E-03,3.17E-05,1.14E-03,1.60E-03,7.22E-06,2.23E-04,7.96E-04,1.71E-03,,,,,,
443(nm),,,,1.65E-05,6.22E-04,1.24E-03,7.83E-06,1.68E-04,7.23E-04,1.60E-05,7.47E-04,1.39E-03,7.92E-06,1.96E-04,7.78E-04,8.32E-05,2.29E-03,2.44E-03,3.56E-05,1.28E-03,1.80E-03,8.01E-06,2.49E-04,8.91E-04,1.93E-03,,,,,,
444(nm),,,,1.84E-05,6.95E-04,1.39E-03,8.68E-06,1.88E-04,8.07E-04,1.78E-05,8.34E-04,1.55E-03,8.78E-06,2.18E-04,8.67E-04,9.27E-05,2.55E-03,2.72E-03,3.95E-05,1.42E-03,2.00E-03,8.81E-06,2.77E-04,9.93E-04,2.15E-03,,,,,,
