"subject","Glare:0.97","Glare:0.84","Glare:0.56","Glare:0.46","Halo:0.97","Halo:0.84","Halo:0.56","Halo:0.46"
"s01",-0.225135944163955,-0.197773472465078,-0.196285181382139,-0.198400272831712,-0.268760913157348,-0.172455487034426,-0.0947301431461638,-0.12442562299396
"s03",0.166217788389514,0.0168709784287574,0.0390669438634647,0.142111579127767,0.188297866525082,0.111675043396698,0.0397555744614484,-0.150570766915418
"s04",-0.174702659044242,-0.107680268257775,-0.212553421530377,-0.159779501950726,-0.0526635141283464,-0.0502633399898057,-0.024120741092392,-0.110862590299137
"s05",-0.258989092172137,-0.215436351774865,-0.192467392145587,-0.213082794802556,-0.200389653891784,-0.126725733290073,-0.0622405430641193,-0.247316658606368
"s09",-0.0835767888772308,0.0353093803173917,-0.169369569207576,-0.013873765853302,0.0780842674154576,0.00516733605848503,-0.069789629854764,-0.132712952247546
"s14",-0.0429859474218641,-0.120446840499804,-0.093772708049932,-0.227580996376104,-0.0464333844382482,-0.0593450912136252,-0.0893068924682534,-0.0788250423397863
"s16",-0.264986690452377,-0.248730412951967,-0.246103124869922,-0.280183506988256,-0.259698208258427,-0.175148236399925,-0.124599847983144,-0.160752908179026
"s17",-0.41671662883971,-0.38619364013907,-0.42711914030398,-0.397696598472641,-0.33520079540582,-0.299978677691755,-0.276947882054112,-0.282813601559739
"s20",-0.0225208601806763,-0.0383349747684384,-0.158504247236189,-0.062827614683166,-0.00206263769699908,0.0663463316848984,-0.0426802384380631,-0.00902012646024393
